# N metoda czas_s adds subs muls divs peak_bytes peak_calls correct max_diff
1 Binet 0.000030 1 0 1 0 16 2 1 0.000000
2 Binet 0.000000 8 0 8 0 64 2 1 0.000000
3 Binet 0.000000 27 0 27 0 144 2 1 0.000000
4 Binet 0.000001 64 0 64 0 256 2 1 0.000000
5 Binet 0.000001 125 0 125 0 400 2 1 0.000000
6 Binet 0.000002 216 0 216 0 576 2 1 0.000000
7 Binet 0.000001 343 0 343 0 784 2 1 0.000000
8 Binet 0.000001 512 0 512 0 1024 2 1 0.000000
9 Binet 0.000006 729 0 729 0 1296 2 1 0.000000
10 Binet 0.000001 1000 0 1000 0 1600 2 1 0.000000
11 Binet 0.000001 1331 0 1331 0 1936 2 1 0.000000
12 Binet 0.000002 1728 0 1728 0 2304 2 1 0.000000
13 Binet 0.000002 2197 0 2197 0 2704 2 1 0.000000
14 Binet 0.000002 2744 0 2744 0 3136 2 1 0.000000
15 Binet 0.000003 3375 0 3375 0 3600 2 1 0.000000
16 Binet 0.000003 4096 0 4096 0 4096 2 1 0.000000
17 Binet 0.000003 4913 0 4913 0 4624 2 1 0.000000
18 Binet 0.000003 5832 0 5832 0 5184 2 1 0.000000
19 Binet 0.000004 6859 0 6859 0 5776 2 1 0.000000
20 Binet 0.000005 8000 0 8000 0 6400 2 1 0.000000
21 Binet 0.000004 9261 0 9261 0 7056 2 1 0.000000
22 Binet 0.000004 10648 0 10648 0 7744 2 1 0.000000
23 Binet 0.000005 12167 0 12167 0 8464 2 1 0.000000
24 Binet 0.000005 13824 0 13824 0 9216 2 1 0.000000
25 Binet 0.000006 15625 0 15625 0 10000 2 1 0.000000
26 Binet 0.000007 17576 0 17576 0 10816 2 1 0.000000
27 Binet 0.000007 19683 0 19683 0 11664 2 1 0.000000
28 Binet 0.000008 21952 0 21952 0 12544 2 1 0.000000
29 Binet 0.000009 24389 0 24389 0 13456 2 1 0.000000
30 Binet 0.000009 27000 0 27000 0 14400 2 1 0.000000
31 Binet 0.000010 29791 0 29791 0 15376 2 1 0.000000
32 Binet 0.000013 32768 0 32768 0 16384 2 1 0.000000
33 Binet 0.000012 35937 0 35937 0 17424 2 1 0.000000
34 Binet 0.000013 39304 0 39304 0 18496 2 1 0.000000
35 Binet 0.000014 42875 0 42875 0 19600 2 1 0.000000
36 Binet 0.000015 46656 0 46656 0 20736 2 1 0.000000
37 Binet 0.000023 50653 0 50653 0 21904 2 1 0.000000
38 Binet 0.000023 54872 0 54872 0 23104 2 1 0.000000
39 Binet 0.000018 59319 0 59319 0 24336 2 1 0.000000
40 Binet 0.000019 64000 0 64000 0 25600 2 1 0.000000
41 Binet 0.000021 68921 0 68921 0 26896 2 1 0.000000
42 Binet 0.000022 74088 0 74088 0 28224 2 1 0.000000
43 Binet 0.000032 79507 0 79507 0 29584 2 1 0.000000
44 Binet 0.000038 85184 0 85184 0 30976 2 1 0.000000
45 Binet 0.000034 91125 0 91125 0 32400 2 1 0.000000
46 Binet 0.000032 97336 0 97336 0 33856 2 1 0.000000
47 Binet 0.000038 103823 0 103823 0 35344 2 1 0.000000
48 Binet 0.000038 110592 0 110592 0 36864 2 1 0.000000
49 Binet 0.000034 117649 0 117649 0 38416 2 1 0.000000
50 Binet 0.000042 125000 0 125000 0 40000 2 1 0.000000
51 Binet 0.000047 132651 0 132651 0 41616 2 1 0.000000
52 Binet 0.000051 140608 0 140608 0 43264 2 1 0.000000
53 Binet 0.000053 148877 0 148877 0 44944 2 1 0.000000
54 Binet 0.000070 157464 0 157464 0 46656 2 1 0.000000
