# N czas_s adds subs muls divs peak_bytes peak_calls
1 0.000001 1 0 1 0 16 2
2 0.000005 12 0 8 0 48 3
3 0.000010 40 0 27 0 136 4
4 0.000022 112 0 64 0 176 4
5 0.000029 204 0 125 0 336 5
6 0.000044 356 0 216 0 424 5
7 0.000089 598 0 343 0 584 5
8 0.000171 960 0 512 0 688 5
9 0.000180 1300 0 729 0 984 6
10 0.000200 1732 0 1000 0 1136 6
20 0.001906 14256 0 8000 0 4336 7
30 0.007515 51476 0 27000 0 9704 7
40 0.012874 115648 0 64000 0 17136 8
50 0.026063 225828 0 125000 0 26936 8
60 0.060472 415408 0 216000 0 38504 8
70 0.090692 652564 0 343000 0 52576 9
80 0.108973 931584 0 512000 0 68336 9
90 0.135757 1309604 0 729000 0 86808 9
100 0.199079 1816624 0 1000000 0 106936 9
200 1.612630 14572992 0 8000000 0 426936 10
300 5.993806 50290736 0 27000000 0 960576 11
400 12.993143 116743936 0 64000000 0 1706936 11
500 38.888679 246857136 0 125000000 0 2667696 11
600 49.972146 402685888 0 216000000 0 3840576 12
700 66.415271 619968688 0 343000000 0 5227704 12
800 105.249172 934591488 0 512000000 0 6826936 12
900 178.703498 1376554288 0 729000000 0 8642376 12
1000 308.391001 1975857088 0 1000000000 0 10667696 12
