# N czas_s adds subs muls divs peak_bytes peak_calls
1 0.000001 0 0 1 0 8 1
2 0.000005 12 6 7 0 136 2
3 0.000013 26 6 26 0 424 3
4 0.000034 132 66 49 0 648 3
5 0.000033 184 66 110 0 1448 4
6 0.000040 290 96 182 0 1576 4
7 0.000044 404 96 309 0 3144 5
8 0.000164 1116 558 343 0 2696 4
9 0.000167 1316 558 560 0 5288 5
10 0.000185 1588 612 770 0 4648 5
11 0.000197 1898 612 1101 0 8520 6
12 0.000276 2462 888 1274 0 6184 5
13 0.000287 2906 888 1743 0 11592 6
14 0.000322 3416 966 2163 0 9416 6
15 0.000318 4018 966 2794 0 16616 7
16 0.001132 8580 4290 2401 0 10888 5
17 0.001158 9364 4290 3218 0 20136 6
18 0.001157 10184 4392 3920 0 15656 6
19 0.000944 11174 4392 4947 0 27208 7
20 0.001015 12316 4884 5390 0 17448 6
21 0.001053 13536 4884 6651 0 31560 7
22 0.001054 14738 5010 7707 0 24008 7
23 0.001129 16212 5010 9226 0 40936 8
24 0.001346 18962 7080 8918 0 24616 6
25 0.001457 20714 7080 10719 0 44616 7
26 0.001599 22370 7230 12201 0 33224 7
27 0.001384 24424 7230 14308 0 56552 8
28 0.001439 26264 7938 15141 0 34504 7
29 0.001465 28644 7938 17578 0 61416 8
30 0.001460 30826 8112 19558 0 45416 8
31 0.001524 33556 8112 22349 0 76168 9
32 0.005998 63132 31566 16807 0 43656 6
33 0.007374 66236 31566 19976 0 78504 7
34 0.005825 69016 31764 22526 0 57128 7
35 0.005733 72518 31764 26097 0 96328 8
36 0.005645 75176 32688 27440 0 57128 7
37 0.006080 79100 32688 31437 0 100936 8
38 0.005810 82550 32910 34629 0 73416 8
39 0.006255 86920 32910 39076 0 122088 9
40 0.006658 91012 36588 37730 0 68648 7
41 0.006709 95852 36588 42651 0 122440 8
42 0.006656 100044 36834 46557 0 88008 8
43 0.006793 105378 36834 51976 0 147176 9
44 0.006547 108974 37974 53949 0 85960 8
45 0.006985 114826 37974 59890 0 150760 9
46 0.006624 119832 38244 64582 0 108648 9
47 0.007218 126226 38244 71069 0 179336 10
48 0.009314 139646 53016 62426 0 98344 7
49 0.016260 146606 53016 69483 0 175176 8
50 0.011309 152498 53310 75033 0 124616 8
51 0.009843 160048 53310 82684 0 207848 9
52 0.009881 164702 54666 85407 0 119752 8
53 0.009739 172866 54666 93676 0 209640 9
54 0.010028 179716 54984 100156 0 149864 9
55 0.010286 188518 54984 109067 0 246664 10
56 0.010758 193256 60270 105987 0 134856 8
57 0.011219 202720 60270 115564 0 238824 9
58 0.011694 210600 60612 123046 0 169064 9
59 0.011117 220750 60612 133313 0 280456 10
60 0.011002 226582 62184 136906 0 160616 9
61 0.010720 237442 62184 147887 0 279688 10
62 0.010846 246424 62550 156443 0 199176 10
63 0.011106 258018 62550 168162 0 326184 11
64 0.039501 454212 227106 117649 0 174728 7
65 0.039189 466564 227106 130130 0 309928 8
66 0.038962 476720 227496 139832 0 217896 8
67 0.040056 489854 227496 153099 0 361544 9
68 0.041326 496984 229284 157682 0 205096 8
69 0.042186 510924 229284 171759 0 357448 9
70 0.041969 522326 229698 182679 0 253128 9
71 0.041061 537096 229698 197590 0 414440 10
72 0.042712 541784 236592 192080 0 223016 8
73 0.041695 557408 236592 207849 0 393544 9
74 0.041538 570128 237030 220059 0 276168 9
75 0.041947 586630 237030 236710 0 456168 10
76 0.042461 595178 239034 242403 0 258248 9
77 0.043163 612582 239034 259960 0 447976 10
78 0.042686 626692 239496 273532 0 316776 10
79 0.044099 645022 239496 292019 0 516488 11
80 0.046985 656284 265716 264110 0 273448 8
81 0.046561 675564 265716 283551 0 483400 9
82 0.047218 691136 266202 298557 0 337608 9
83 0.048362 711390 266202 318976 0 558056 10
84 0.047325 721476 268422 325899 0 313800 9
85 0.045986 742728 268422 347320 0 545000 10
86 0.045674 759834 268932 363832 0 383848 10
87 0.045936 782108 268932 386279 0 626056 11
88 0.045857 786050 277434 377643 0 333768 9
89 0.046224 809370 277434 401140 0 587240 10
90 0.046708 828082 277968 419230 0 409960 10
91 0.046907 852472 277968 443801 0 674952 11
92 0.047509 864216 280404 452074 0 379496 10
93 0.047809 889700 280404 477743 0 656264 11
94 0.047491 910090 280962 497483 0 462088 11
95 0.047690 936692 280962 524274 0 750888 12
96 0.065711 1005170 384936 436982 0 393256 8
97 0.066837 1032914 384936 464919 0 694344 9
98 0.065411 1055054 385518 486381 0 482504 9
99 0.068732 1083964 385518 515488 0 796136 10
100 0.067651 1097486 388170 525231 0 444616 9
110 0.069407 1355926 403038 763469 0 633864 11
120 0.076617 1629274 456888 958342 0 621416 10
130 0.284856 3316648 1615092 910910 0 850728 9
140 0.281203 3715082 1637286 1278753 0 880328 10
150 0.286080 4173910 1692960 1656970 0 1176168 11
160 0.315271 4670788 1898412 1848770 0 1092648 9
170 0.320327 5285796 1922304 2431240 0 1469800 11
180 0.333027 5893774 1994376 2934610 0 1446760 11
190 0.337556 6665144 2020884 3669918 0 1906088 13
200 0.468697 7802402 2777190 3676617 0 1724616 10
210 0.480718 8657698 2858352 4414270 0 2229864 11
220 0.515263 9636682 2893866 5344283 0 2182664 12
230 0.542267 10638610 3169038 5937953 0 2770696 12
240 0.542605 11577718 3284616 6708394 0 2464616 11
250 0.556354 12908936 3320148 7991214 0 3191208 13
260 1.949474 23419336 11407044 6376370 0 3013928 10
270 1.953608 24976636 11445192 7881748 0 3852136 12
280 2.031669 26240774 11578602 8951271 0 3389128 11
290 2.042119 27671636 11936886 9850407 0 4250568 11
300 2.023771 29487370 11985720 11598790 0 4056168 12
310 2.070295 31301968 12105834 13239317 0 5050888 13
320 2.243662 33002716 13442484 12941390 0 4369448 10
330 2.268268 35323144 13489656 15197560 0 5554280 12
340 2.276548 37347372 13629528 17018680 0 5169000 12
350 2.280197 39963602 13679316 19567128 0 6494888 14
360 2.351243 41645218 14155032 20542270 0 5593960 12
370 2.340867 44180524 14300634 22866473 0 6938888 13
