# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000002 0 0 0 0 0 0
2 0.000006 0 1 3 2 104 2
3 0.000022 14 12 42 8 488 3
4 0.000015 14 12 42 8 488 3
5 0.000084 142 69 285 24 1352 4
6 0.000075 142 69 285 24 1352 4
7 0.000114 232 76 396 24 2024 4
8 0.000120 232 76 396 24 2024 4
9 0.000347 938 289 1509 64 3752 5
10 0.000370 938 289 1509 64 3752 5
11 0.000515 1178 300 1782 64 4808 5
12 0.000433 1178 300 1782 64 4808 5
13 0.000823 2074 369 2829 64 6728 5
14 0.001147 2074 369 2829 64 6728 5
15 0.001474 2536 384 3336 64 8168 5
16 0.001699 2536 384 3336 64 8168 5
17 0.002566 5778 1061 7833 160 11528 6
18 0.002414 5778 1061 7833 160 11528 6
19 0.002671 6534 1080 8646 160 13352 6
20 0.002389 6534 1080 8646 160 13352 6
21 0.002422 8926 1189 11277 160 16424 6
22 0.003178 8926 1189 11277 160 16424 6
23 0.003698 10048 1212 12468 160 18632 6
24 0.002998 10048 1212 12468 160 18632 6
25 0.006557 15314 1537 18381 160 22952 6
26 0.006385 15314 1537 18381 160 22952 6
27 0.007159 16874 1564 20022 160 25544 6
28 0.007019 16874 1564 20022 160 25544 6
29 0.009736 21482 1713 24957 160 29768 6
30 0.009950 21482 1713 24957 160 29768 6
31 0.006602 23552 1744 27120 160 32744 6
32 0.005106 23552 1744 27120 160 32744 6
33 0.009757 37282 3701 44409 384 39272 7
34 0.010744 37282 3701 44409 384 39272 7
35 0.011030 39934 3736 47166 384 42632 7
36 0.010936 39934 3736 47166 384 42632 7
37 0.011774 47478 3925 55125 384 48008 7
38 0.011853 47478 3925 55125 384 48008 7
39 0.012202 50784 3964 58548 384 51752 7
40 0.012175 50784 3964 58548 384 51752 7
41 0.014612 64954 4481 73749 384 58760 7
42 0.014503 64954 4481 73749 384 58760 7
43 0.015220 68986 4524 77910 384 62888 7
44 0.015075 68986 4524 77910 384 62888 7
45 0.017473 80186 4753 89613 384 69416 7
46 0.017338 80186 4753 89613 384 69416 7
47 0.018416 85016 4800 94584 384 73928 7
48 0.018390 85016 4800 94584 384 73928 7
49 0.027433 110466 5973 122265 384 82952 7
50 0.027225 110466 5973 122265 384 82952 7
51 0.029082 116166 6024 128118 384 87848 7
52 0.028957 116166 6024 128118 384 87848 7
53 0.034612 131742 6293 144285 384 95528 7
54 0.034570 131742 6293 144285 384 95528 7
55 0.037037 138384 6348 151092 384 100808 7
56 0.036834 138384 6348 151092 384 100808 7
57 0.049077 165778 7057 179901 384 110504 7
58 0.048628 165778 7057 179901 384 110504 7
59 0.052245 173434 7116 187734 384 116168 7
60 0.052012 173434 7116 187734 384 116168 7
61 0.062217 194106 7425 209085 384 125000 7
62 0.061745 194106 7425 209085 384 125000 7
63 0.066184 202848 7488 218016 384 131048 7
64 0.066374 202848 7488 218016 384 131048 7
65 0.074343 258882 12805 283593 896 143816 8
66 0.074226 258882 12805 283593 896 143816 8
67 0.074902 268782 12872 293694 896 150248 8
68 0.074502 268782 12872 293694 896 150248 8
69 0.077199 295270 13221 320949 896 160232 8
70 0.076801 295270 13221 320949 896 160232 8
71 0.078114 306400 13292 332292 896 167048 8
72 0.077796 306400 13292 332292 896 167048 8
73 0.083060 351338 14193 379029 896 179432 8
74 0.083296 351338 14193 379029 896 179432 8
75 0.083599 363770 14268 391686 896 186632 8
76 0.083269 363770 14268 391686 896 186632 8
77 0.087901 396794 14657 425565 896 197768 8
78 0.087798 396794 14657 425565 896 197768 8
79 0.090502 410600 14736 439608 896 205352 8
80 0.090761 410600 14736 439608 896 205352 8
81 0.102242 479634 16613 512217 896 220136 8
82 0.100806 479634 16613 512217 896 220136 8
83 0.103477 494886 16696 527718 896 228104 8
84 0.099299 494886 16696 527718 896 228104 8
85 0.068988 535166 17125 568941 896 240392 8
86 0.069893 535166 17125 568941 896 240392 8
87 0.081200 551936 17212 585972 896 248744 8
88 0.072734 551936 17212 585972 896 248744 8
89 0.080433 618738 18305 654957 896 263816 8
90 0.082526 618738 18305 654957 896 263816 8
91 0.087716 637098 18396 673590 896 272552 8
92 0.100735 637098 18396 673590 896 272552 8
93 0.084385 685354 18865 722877 896 285992 8
94 0.085236 685354 18865 722877 896 285992 8
95 0.091829 705376 18960 743184 896 295112 8
96 0.090312 705376 18960 743184 896 295112 8
97 0.119274 817602 22645 862233 896 313448 8
98 0.142026 817602 22645 862233 896 313448 8
99 0.120774 839358 22744 884286 896 322952 8
100 0.125460 839358 22744 884286 896 322952 8
110 0.205151 1104666 25297 1155117 896 391208 8
120 0.275787 1403408 28812 1461108 896 461768 8
130 0.390947 1908866 44997 1996233 2048 549416 9
140 0.431980 2287994 47740 2381382 2048 630632 9
150 0.435312 2837374 52773 2941101 2048 726632 9
160 0.465803 3333664 55888 3444240 2048 819752 9
170 0.569896 4155066 65025 4283541 2048 933992 9
180 0.640543 4855558 70408 4995126 2048 1041416 9
190 0.758922 5680826 74881 5830077 2048 1161512 9
200 1.022358 6625568 87084 6798084 2048 1282952 9
210 1.179447 7846290 95653 8036121 2048 1423592 9
220 1.424525 8807978 99996 9007350 2048 1552808 9
230 1.829693 10198646 110869 10419477 2048 1703048 9
240 2.168101 11342296 115584 11573496 2048 1844168 9
250 2.748676 13077234 125713 13328925 2048 2012072 9
260 3.121855 14771086 162568 15089310 4608 2171816 10
270 3.154654 16465914 168961 16797981 4608 2343752 10
280 3.123198 18182496 177276 18531732 4608 2512232 10
290 3.156479 20650018 193077 21030201 4608 2709416 10
300 3.203210 22460666 199020 22853910 4608 2886632 10
310 3.353100 24892446 209493 25307229 4608 3088232 10
320 3.511416 26949856 215808 27378528 4608 3277352 10
330 3.871431 30225898 239217 30699285 4608 3503048 10
340 4.028678 32787750 249400 33282150 4608 3708392 10
350 4.290075 35661738 257713 36174141 4608 3932168 10
360 4.958591 38687680 273212 39230676 4608 4151816 10
370 5.180906 42552642 288341 43126233 4608 4401896 10
380 5.537250 45478650 295884 46068822 4608 4627112 10
390 6.510423 49747270 329445 50400213 4608 4885832 10
400 6.854921 52984840 337360 53655192 4608 5122952 10
410 8.104425 57729778 354049 58433901 4608 5400296 10
420 8.932944 61886078 372248 62626110 4608 5657192 10
430 9.563159 66248826 382481 67011021 4608 5932808 10
440 10.531053 70549648 395596 71338932 4608 6199208 10
450 12.326249 76719874 427717 77570505 4608 6508232 10
460 14.362592 81027642 436860 81898374 4608 6781448 10
470 14.551540 86681022 452773 87584493 4608 7088648 10
480 15.817991 91365152 462288 92289552 4608 7373768 10
490 17.996042 98471354 488705 99447573 4608 7708808 10
500 19.430207 104060966 503688 105068118 4608 8012072 10
510 23.554465 110222074 515841 111255549 4608 8339528 10
520 22.218512 117088480 605484 118282308 10240 8661416 11
530 22.608679 125080882 627173 126318585 10240 9020936 11
540 23.302179 131036810 637916 132298134 10240 9342152 11
550 26.803712 139187318 663829 140499861 10240 9705512 11
560 27.806170 145584408 674944 146921400 10240 10038632 11
570 27.821193 154822546 698193 156206589 10240 10425416 11
580 31.958266 163062638 733000 164513214 10240 10783016 11
590 33.207742 171331706 747073 172812765 10240 11162312 11
600 30.697118 179383168 764988 180901236 10240 11526632 11
610 29.119024 190474050 798069 192056985 10240 11944616 11
620 31.224183 198344538 810412 199954614 10240 12313832 11
630 38.041156 208558718 831765 210212733 10240 12726632 11
640 33.861044 216935168 844480 218617152 10240 13107752 11
650 36.422705 230040394 903665 231833205 10240 13556264 11
660 35.268520 239824166 923448 241657830 10240 13957448 11
670 36.066586 250510794 939441 252379101 10240 14388584 11
680 34.265476 261458336 968700 263384436 10240 14805992 11
690 34.799442 275061378 996949 277044633 10240 15274952 11
700 36.402599 285112826 1010892 287126742 10240 15692168 11
710 38.524710 299147878 1056101 301248501 10240 16164296 11
720 40.553688 309770088 1070416 311902200 10240 16593416 11
730 43.953469 324984626 1100225 327177069 10240 17089640 11
740 44.052303 338001406 1132184 340256958 10240 17544296 11
750 47.238023 351415194 1150097 353709549 10240 18027272 11
760 48.471606 364383696 1172812 366724980 10240 18489512 11
770 57.684956 383049730 1262853 385556745 10240 19022216 11
780 57.945246 395548538 1278396 398089734 10240 19487432 11
790 67.973760 411662718 1305189 414259053 10240 20005832 11
800 67.158837 424797088 1321104 427428432 10240 20482952 11
810 73.426406 444380090 1364801 447097173 10240 21038792 11
820 86.253279 459524422 1389384 462292278 10240 21537896 11
830 74.603550 475974970 1409217 478785789 10240 22072712 11
840 76.640947 493283552 1459180 496189956 10240 22591592 11
850 80.410665 513980434 1493989 516957273 10240 23169992 11
860 87.334702 529193002 1511132 532207542 10240 23683208 11
870 89.848979 549719350 1552085 552814869 10240 24259688 11
880 93.010168 565632280 1569600 568766328 10240 24784808 11
890 93.896015 588306418 1605969 591514077 10240 25390472 11
900 101.346372 608630734 1677896 611972766 10240 25948232 11
910 100.840933 628427642 1699649 631816797 10240 26534888 11
920 105.157687 647479584 1727164 650925588 10240 27095048 11
930 113.176686 673385826 1777525 676930617 10240 27733832 11
940 115.675859 691578554 1796268 695164566 10240 28295048 11
950 125.352214 714931934 1828501 718584285 10240 28919048 11
960 132.119554 733889824 1847616 737584224 10240 29492168 11
970 134.012459 762766826 1915825 766591701 10240 30161384 11
980 142.713721 784438118 1945208 788323686 10240 30758408 11
990 142.314871 807890986 1968881 811827837 10240 31396904 11
1000 150.044912 831684928 2011900 835706772 10240 32012072 11
