# N czas_s adds subs muls divs peak_bytes peak_calls
1 0.000002 0 0 0 1 0 0
2 0.000010 1 3 6 2 104 2
3 0.000042 78 54 54 4 520 3
4 0.000037 78 54 54 4 520 3
5 0.000128 321 171 264 8 1384 4
6 0.000074 321 171 264 8 1384 4
7 0.000224 964 552 402 8 2184 4
8 0.000192 964 552 402 8 2184 4
9 0.000329 1771 813 1188 16 3848 5
10 0.000306 1771 813 1188 16 3848 5
11 0.000284 2418 1026 1620 16 5032 5
12 0.000302 2418 1026 1620 16 5032 5
13 0.000504 4401 1827 2658 16 7848 6
14 0.000444 4401 1827 2658 16 7848 6
15 0.001035 8688 4644 2862 16 8840 5
16 0.001188 8688 4644 2862 16 8840 5
17 0.001416 11519 5217 5736 32 13064 6
18 0.001439 11519 5217 5736 32 13064 6
19 0.001447 13170 5598 6996 32 14248 6
20 0.001561 13170 5598 6996 32 14248 6
21 0.001686 16345 6087 9846 32 20136 7
22 0.001715 16345 6087 9846 32 20136 7
23 0.001935 19752 7812 10884 32 20008 6
24 0.002001 19752 7812 10884 32 20008 6
25 0.002681 26407 9489 15774 32 27816 7
26 0.002312 26407 9489 15774 32 27816 7
27 0.002525 29494 10038 18294 32 28232 7
28 0.002298 29494 10038 18294 32 28232 7
29 0.003505 41709 15759 22488 32 38216 8
30 0.003707 41709 15759 22488 32 38216 8
31 0.008657 69112 35796 20130 32 35464 6
32 0.008634 69112 35796 20130 32 35464 6
33 0.007661 79511 37041 30780 64 47880 7
34 0.008254 79511 37041 30780 64 47880 7
35 0.008072 84466 37758 34992 64 46760 7
36 0.008471 84466 37758 34992 64 46760 7
37 0.008902 93745 38631 43674 64 61864 8
38 0.008971 93745 38631 43674 64 61864 8
39 0.009407 100636 41700 46332 64 55848 7
40 0.009533 100636 41700 46332 64 55848 7
41 0.009946 114347 42801 59598 64 73896 8
42 0.009832 114347 42801 59598 64 73896 8
43 0.009346 121602 43686 65934 64 70472 8
44 0.010158 121602 43686 65934 64 70472 8
45 0.011777 137305 47271 77124 64 91720 9
46 0.010478 137305 47271 77124 64 91720 9
47 0.012428 153852 59832 75276 64 79912 7
48 0.013576 153852 59832 75276 64 79912 7
49 0.015593 177723 63333 95862 64 104616 8
50 0.015094 177723 63333 95862 64 104616 8
51 0.014770 187710 64386 104754 64 98120 8
52 0.015156 187710 64386 104754 64 98120 8
53 0.015622 206261 65643 122436 64 126536 9
54 0.015652 206261 65643 122436 64 126536 9
55 0.015431 217356 70056 127434 64 109768 8
56 0.017299 217356 70056 127434 64 109768 8
57 0.018208 256123 81669 150444 64 142152 9
58 0.019025 256123 81669 150444 64 142152 9
59 0.016448 269274 82890 162324 64 131816 9
60 0.018044 269274 82890 162324 64 131816 9
61 0.025439 340521 123147 174354 64 168424 10
62 0.024799 340521 123147 174354 64 168424 10
63 0.052257 518040 264060 141102 64 141960 7
64 0.050987 518040 264060 141102 64 141960 7
65 0.054526 557527 266745 181416 128 183048 8
66 0.056067 557527 266745 181416 128 183048 8
67 0.054482 574274 268134 196716 128 168104 8
68 0.053586 574274 268134 196716 128 168104 8
69 0.054368 605265 269775 226566 128 213928 9
70 0.054144 605265 269775 226566 128 213928 9
71 0.054581 621284 275532 234624 128 181544 8
72 0.054678 621284 275532 234624 128 181544 8
73 0.056468 663459 277497 275970 128 232360 9
74 0.054968 663459 277497 275970 128 232360 9
75 0.056908 684234 279054 295122 128 212040 9
76 0.059657 684234 279054 295122 128 212040 9
77 0.059218 724313 285423 327120 128 268104 10
78 0.058321 724313 285423 327120 128 268104 10
79 0.062634 748944 307728 319044 128 222248 8
80 0.061417 748944 307728 319044 128 222248 8
81 0.064424 805487 310173 375102 128 283816 9
82 0.060868 805487 310173 375102 128 283816 9
83 0.063442 830722 311898 398538 128 257352 9
84 0.066220 830722 311898 398538 128 257352 9
85 0.064853 877321 313923 443724 128 324680 10
86 0.063340 877321 313923 443724 128 324680 10
87 0.064611 898984 321024 455562 128 271816 9
88 0.064348 898984 321024 455562 128 271816 9
89 0.065337 965591 328461 513588 128 345160 10
90 0.064981 965591 328461 513588 128 345160 10
91 0.066563 995718 330354 541740 128 311784 10
92 0.064526 995718 330354 541740 128 311784 10
93 0.070599 1067269 355755 576966 128 391400 11
94 0.070616 1067269 355755 576966 128 391400 11
95 0.088335 1147884 444672 525108 128 319528 8
96 0.091827 1147884 444672 525108 128 319528 8
97 0.092596 1237483 451965 608622 128 405672 9
98 0.090264 1237483 451965 608622 128 405672 9
99 0.091502 1272934 454026 641922 128 364616 9
100 0.092605 1272934 454026 641922 128 364616 9
200 0.634066 9140784 3267072 4435230 256 1404616 10
300 2.695000 34853706 14219586 13962828 512 3336168 12
400 4.240040 65135980 23317284 30930162 512 5564616 11
500 5.188795 109708170 29394414 66811212 512 9191208 14
600 18.910532 246721632 100623492 97518396 1024 12696168 13
700 21.035080 333932442 115081938 163654344 1024 18254888 15
800 29.616952 461012844 165196548 216278238 1024 22204616 12
900 33.689064 593979770 188392686 315277704 1024 29681896 13
1000 35.269034 766341652 201235044 469253412 1024 35191208 15
